Unnamed: 0,postal_code,state,city
89348,14082,NY,javacenter
89362,17762,PA,picturerocks
89482,19538,PA,maxatawny
89491,68927,NE,bertrand
89605,56042,MN,hartland
89606,38347,TN,jackscreek
89662,73073,OK,orlando
89692,56725,MN,goodridge
89736,61812,IL,armstrong
89773,61936,IL,laplace
89837,62621,IL,bluffs
89869,49921,MI,dodgeville
89880,50252,IA,swan
89944,65001,MO,argyle
89957,18943,PA,pennspark
90029,58760,ND,maxbass
90203,46290,IN,indianapolis
90205,23302,VA,assawoman
90262,42054,KY,kirksey
90302,54441,WI,hewitt
90332,2876,RI,slatersville
90511,59640,MT,marysville
90701,40870,KY,totz
90704,24854,WV,kopperston
90726,22226,VA,arlington
90782,54103,WI,armstrongcreek
90802,43974,OH,harrisville
90836,3871,NH,ryebeach
90845,92283,CA,winterhaven
90874,61929,IL,hammond
90980,16416,PA,garland
91002,50446,IA,joice
91045,17933,PA,friedensburg
91211,73011,OK,bradley
91235,16344,PA,rouseville
91459,87357,NM,pinehill
91561,84308,UT,cornish
91579,42265,KY,olmstead
91582,89007,NV,bunkerville
91597,71959,AR,newhope
91692,97109,OR,buxton
91760,59054,MT,melstone
91764,5833,VT,eastcharleston
91768,73555,OK,manitou
91875,73746,OK,hopeton
91890,42634,KY,parkerslake
92076,52308,IA,millersburg
92110,97143,OR,netarts
92118,63544,MO,greencastle
92360,70375,LA,mathews
92391,36436,AL,dickinson
92451,17211,PA,artemas
92508,67105,KS,milan
92538,61845,IL,foosland
92540,12040,NY,cherryplain
92568,37078,TN,hurricanemills
92619,76882,TX,talpa
92781,70556,LA,mermentau
92837,17247,PA,quincy
92840,52750,IA,gooselake
92877,47231,IN,dupont
92927,29051,SC,gable
93006,43940,OH,neffs
93008,62831,IL,dubois
93032,84623,UT,chester
93049,15346,PA,mather
93057,77344,TX,huntsville
93073,25907,WV,prince
93089,62476,IL,westsalem
93170,44856,OH,northrobinson
93216,95537,CA,fieldslanding
93250,83312,ID,almo
93281,26161,WV,petroleum
93291,49905,MI,atlanticmine
93319,71973,AR,wickes
93328,74829,OK,boley
93347,52212,IA,centerjunction
93362,73646,OK,fay
93411,18070,PA,palm
93420,55087,MN,warsaw
93486,13649,NY,helena
93545,54550,WI,montreal
93716,61567,IL,topeka
93757,6091,CT,westhartland
93803,52325,IA,parnell
93882,61018,IL,dakota
93978,3866,NH,rochester
94109,23186,VA,williamsburg
94371,63747,MO,friedheim
94568,49852,MI,loretto
94598,66852,KS,gridley
94726,58744,ND,karlsruhe
94765,26289,WV,redcreek
94852,16680,PA,smithmill
94925,17861,PA,paxtonville
94956,61436,IL,gilson
94982,82219,WY,jayem
95035,66949,KS,jewell
95098,91017,CA,monrovia
95127,6332,CT,centralvillage
95187,43536,OH,markcenter
95235,25676,WV,lenore
95255,63538,MO,elmer
95264,50231,IA,randall
95268,38914,MS,bigcreek
95368,17768,PA,shunk
95389,73951,OK,tyrone
95413,52551,IA,douds
95421,59528,MT,hingham
95426,36052,AL,mathews
95434,67446,KS,glenelder
95473,26544,WV,pentress
95481,30142,GA,hollysprings
95494,43740,OH,gratiot
95531,87325,NM,tohatchi
95556,41650,KY,melvin
95588,71851,AR,mineralsprings
95590,64861,MO,rockycomfort
95592,44838,OH,hayesville
95623,67669,KS,stockton
95639,84031,UT,hanna
95706,34445,FL,holder
95803,15561,PA,sipesville
95883,65436,MO,beulah
95943,56759,MN,strathcona
96016,72553,AR,magness
96064,96765,HI,lawai
96100,67849,KS,hanston
96124,43350,OH,sparta
96181,57434,SD,conde
96208,5260,VT,northpownal
96221,97856,OR,longcreek
96236,61731,IL,cropsey
96370,12438,NY,halcottsville
96443,5736,VT,centerrutland
96479,98583,WA,satsop
96491,17865,PA,pottsgrove
96621,64752,MO,hume
96705,15832,PA,driftwood
96773,68342,NE,diller
96813,75507,TX,texarkana
96832,25432,WV,millville
96926,54464,WI,phlox
97140,51366,IA,webb
97162,73021,OK,colony
97335,39861,GA,jakin
97352,68437,NE,shubert
97376,77969,TX,lasalle
97408,62666,IL,middletown
97568,62284,IL,smithboro
97571,58442,ND,gackle
97579,31051,GA,lilly
97584,66958,KS,morrowville
97660,16744,PA,rew
97736,24448,VA,irongate
97856,72930,AR,cecil
97936,52242,IA,iowacity
98053,50274,IA,wiota
98063,21052,MD,forthoward
98113,54003,WI,beldenville
98141,4662,ME,northeastharbor
98153,71326,LA,clayton
98158,15762,PA,nicktown
98212,72747,AR,maysville
98306,41547,KY,majestic
98348,61276,IL,preemption
98435,99564,AK,chignik
98465,15007,PA,bakerstown
98576,12008,NY,alplaus
98615,47577,IN,saintmeinrad
98620,1745,MA,fayville
98652,61335,IL,mcnabb
98658,28522,NC,comfort
98787,79247,TX,odell
98887,25977,WV,meadowcreek
98922,56252,MN,kerkhoven
98986,26275,WV,junior
99004,15863,PA,stumpcreek
99066,17504,PA,bausman
99076,66754,KS,mapleton
99130,1840,MA,lawrence
99161,81155,CO,villagrove
99209,64643,MO,hale
99236,76939,TX,knickerbocker
99259,75444,TX,golden
99277,45783,OH,tuppersplains
99326,72079,AR,jefferson
99327,49838,MI,gouldcity
99391,27985,NC,winfall
99437,53926,WI,dalton
99447,28710,NC,batcave
99465,28662,NC,pineola
99473,51542,IA,honeycreek
99504,98330,WA,elbe
99555,15432,PA,dunlevy
99651,12961,NY,moriahcenter
99684,36759,AL,marionjunction
99714,23955,VA,nottoway
99783,29727,SC,mountcroghan
99820,56162,MN,ormsby
100075,19367,PA,pomeroy
100109,62079,IL,piasa
100115,13647,NY,hannawafalls
100125,97640,OR,summerlake
100173,64433,MO,conception
100321,15520,PA,acosta
100381,25812,WV,ansted
100549,15341,PA,holbrook
100623,65755,MO,squires
100646,4964,ME,oquossoc
100669,87421,NM,waterflow
100721,31631,GA,fargo
100729,53584,WI,sextonville
100896,46302,IN,boonegrove
100944,66865,KS,olpe
100963,53580,WI,rewey
101059,47940,IN,darlington
101069,96092,CA,vina
101153,47683,IN,somerville
101174,61466,IL,northhenderson
101314,6602,CT,bridgeport
101356,97432,OR,dillard
101392,21920,MD,elkmills
101469,49041,MI,comstock
101490,62519,IL,cornland
101575,74842,OK,fittstown
101757,71864,AR,willisville
101779,57345,SD,highmore
101797,65260,MO,jacksonville
101808,57779,SD,saintonge
101809,66741,KS,garland
101821,83632,ID,indianvalley
101828,66849,KS,dwight
101852,29434,SC,cordesville
101855,75413,TX,bailey
101948,62816,IL,bonnie
102001,67674,KS,walker
102019,72749,AR,morrow
102049,46984,IN,somerset
102062,65777,MO,moody
102081,91931,CA,guatay
102260,18030,PA,bowmanstown
102355,28652,NC,minneapolis
102418,32434,FL,mossyhead
102440,80822,CO,joes
102462,87828,NM,polvadera
