,postal_code,state,city
1016,56401,mn,brainerd
1017,65466,mo,eminence
1018,68329,ne,cook
1019,33707,fl,saintpetersburg
1020,21218,md,baltimore
1021,91302,ca,calabasas
1022,79911,tx,elpaso
1023,38469,tn,loretto
1024,54963,wi,omro
1025,39753,ms,mayhew
1026,85933,az,overgaard
1027,84759,ut,panguitch
1028,60504,il,aurora
1029,29926,sc,hiltonheadisland
1030,13143,ny,redcreek
1031,97526,or,grantspass
1032,79363,tx,shallowater
1033,6778,ct,northfield
1034,44114,oh,cleveland
1035,96021,ca,corning
1036,44859,oh,nova
1037,36054,al,millbrook
1038,48074,mi,smithscreek
1039,24520,va,alton
1040,2911,ri,northprovidence
1041,33161,fl,miami
1042,25523,wv,hamlin
1043,53589,wi,stoughton
1044,52140,ia,dorchester
1045,2535,ma,chilmark
1046,24179,va,vinton
1047,98625,wa,kalama
1048,78061,tx,pearsall
1049,28088,nc,landis
1050,56225,mn,clinton
1051,26818,wv,fisher
1052,43320,oh,edison
1053,95949,ca,grassvalley
1054,74940,ok,howe
1055,37076,tn,hermitage
1056,79255,tx,quitaque
1057,4453,me,lagrange
1058,31714,ga,ashburn
1059,26681,wv,nettie
1060,79019,tx,claude
1061,4971,me,saintalbans
1062,83025,wy,tetonvillage
1063,51551,ia,malvern
1064,7078,nj,shorthills
1065,53226,wi,milwaukee
1066,11729,ny,deerpark
1067,66203,ks,shawnee
1068,12590,ny,wappingersfalls
1069,11940,ny,eastmoriches
1070,50476,ia,stacyville
1071,15401,pa,uniontown
1072,18825,pa,jackson
1073,69140,ne,grant
1074,33167,fl,miami
1075,42202,ky,adairville
1076,59447,mt,geyser
1077,17851,pa,mountcarmel
1078,17963,pa,pinegrove
1079,3869,nh,rollinsford
1080,23893,va,whiteplains
1081,74932,ok,cameron
1082,44484,oh,warren
1083,23690,va,yorktown
1084,47264,in,norman
1085,97632,or,malin
1086,65066,mo,owensville
1087,11733,ny,eastsetauket
1088,28314,nc,fayetteville
1089,2445,ma,brookline
1090,49304,mi,baldwin
1091,8072,nj,quinton
1092,48328,mi,waterford
1093,2478,ma,belmont
1094,46349,in,lakevillage
1095,57702,sd,rapidcity
1096,27501,nc,angier
1097,38474,tn,mountpleasant
1098,57268,sd,toronto
1099,73624,ok,burnsflat
1100,51333,ia,dickens
1101,20630,md,drayden
1102,1510,ma,clinton
1103,93441,ca,losolivos
